CT,CU,LT,TC,TS,User_Status,TA
CT_range_1,CU_range_4,LT_range_1,ECommerce,untrustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_3,game,trustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_1,game,trustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_1,game,trustworthy,fair,BM
CT_range_1,CU_range_4,LT_range_4,ECommerce,untrustworthy,fair,BM
CT_range_1,CU_range_4,LT_range_1,ECommerce,untrustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_3,game,untrustworthy,unfair,BM
CT_range_4,CU_range_1,LT_range_1,game,trustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_1,game,trustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_1,game,trustworthy,fair,BM
CT_range_1,CU_range_4,LT_range_4,ECommerce,untrustworthy,fair,BM
CT_range_1,CU_range_4,LT_range_1,ECommerce,untrustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_3,game,trustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_1,game,trustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_1,game,trustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_1,game,trustworthy,fair,BM
CT_range_1,CU_range_4,LT_range_4,ECommerce,untrustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_2,game,trustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_1,game,trustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_1,game,trustworthy,fair,BM
CT_range_1,CU_range_4,LT_range_4,ECommerce,untrustworthy,fair,BM
CT_range_1,CU_range_4,LT_range_1,ECommerce,untrustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_3,game,trustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_1,game,trustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_1,game,trustworthy,fair,BM
CT_range_1,CU_range_4,LT_range_4,ECommerce,untrustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_2,game,trustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_1,game,trustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_1,game,trustworthy,fair,BM
CT_range_1,CU_range_4,LT_range_4,ECommerce,untrustworthy,fair,BM
CT_range_1,CU_range_4,LT_range_1,ECommerce,untrustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_3,game,trustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_1,game,trustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_1,game,trustworthy,fair,BM
CT_range_1,CU_range_4,LT_range_4,ECommerce,untrustworthy,fair,BM
CT_range_1,CU_range_4,LT_range_1,ECommerce,untrustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_3,game,trustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_1,game,untrustworthy,unfair,BM
CT_range_4,CU_range_1,LT_range_1,game,trustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_1,game,trustworthy,fair,BM
CT_range_1,CU_range_4,LT_range_4,ECommerce,untrustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_2,game,untrustworthy,unfair,BM
CT_range_4,CU_range_1,LT_range_1,game,trustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_1,game,trustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_1,game,trustworthy,fair,BM
CT_range_1,CU_range_4,LT_range_4,ECommerce,untrustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,untrustworthy,unfair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,untrustworthy,unfair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,untrustworthy,unfair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_1,CU_range_1,LT_range_1,holiday,trustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_2,holiday,untrustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_4,sport,untrustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_4,sport,untrustworthy,fair,BM
CT_range_1,CU_range_4,LT_range_4,sport,trustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_4,sport,trustworthy,fair,BM
CT_range_3,CU_range_1,LT_range_4,sport,trustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_4,sport,untrustworthy,fair,BM
CT_range_1,CU_range_4,LT_range_4,sport,trustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_4,sport,trustworthy,fair,BM
CT_range_3,CU_range_1,LT_range_4,sport,trustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_4,sport,untrustworthy,fair,BM
CT_range_1,CU_range_4,LT_range_4,sport,trustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_4,sport,trustworthy,fair,BM
CT_range_3,CU_range_1,LT_range_4,sport,trustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_4,sport,untrustworthy,fair,BM
CT_range_1,CU_range_4,LT_range_4,sport,trustworthy,fair,BM
CT_range_1,CU_range_4,LT_range_4,sport,trustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_4,sport,trustworthy,fair,BM
CT_range_3,CU_range_1,LT_range_4,sport,trustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_4,sport,untrustworthy,fair,BM
CT_range_1,CU_range_3,LT_range_4,sport,trustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_4,sport,trustworthy,fair,BM
CT_range_3,CU_range_1,LT_range_4,sport,trustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_4,sport,untrustworthy,fair,BM
CT_range_1,CU_range_3,LT_range_4,sport,trustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_4,sport,trustworthy,fair,BM
CT_range_3,CU_range_1,LT_range_4,sport,trustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_4,sport,untrustworthy,fair,BM
CT_range_1,CU_range_3,LT_range_4,sport,trustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_4,sport,trustworthy,fair,BM
CT_range_3,CU_range_1,LT_range_4,sport,trustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_4,sport,untrustworthy,fair,BM
CT_range_1,CU_range_3,LT_range_4,sport,untrustworthy,unfair,BM
CT_range_2,CU_range_1,LT_range_4,sport,trustworthy,fair,BM
CT_range_3,CU_range_1,LT_range_4,sport,trustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_4,sport,untrustworthy,fair,BM
CT_range_1,CU_range_3,LT_range_4,sport,untrustworthy,unfair,BM
CT_range_1,CU_range_4,LT_range_4,sport,trustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_4,sport,trustworthy,fair,BM
CT_range_3,CU_range_1,LT_range_4,sport,trustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_4,sport,untrustworthy,fair,BM
CT_range_1,CU_range_3,LT_range_4,sport,trustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_4,sport,trustworthy,fair,BM
CT_range_3,CU_range_1,LT_range_4,sport,trustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_4,sport,untrustworthy,fair,BM
CT_range_1,CU_range_3,LT_range_4,sport,trustworthy,fair,BM
CT_range_1,CU_range_4,LT_range_4,sport,trustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_4,sport,trustworthy,fair,BM
CT_range_3,CU_range_1,LT_range_4,sport,trustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_4,sport,untrustworthy,fair,BM
CT_range_1,CU_range_3,LT_range_4,sport,trustworthy,fair,BM
CT_range_1,CU_range_4,LT_range_4,sport,trustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_4,sport,trustworthy,fair,BM
CT_range_3,CU_range_1,LT_range_4,sport,trustworthy,fair,BM
CT_range_4,CU_range_1,LT_range_4,sport,untrustworthy,fair,BM
CT_range_1,CU_range_3,LT_range_4,sport,untrustworthy,unfair,BM
CT_range_1,CU_range_4,LT_range_4,sport,trustworthy,fair,BM
CT_range_2,CU_range_1,LT_range_4,sport,trustworthy,fair,BM
